cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis,n_consolidator,n_coordinator,n_truncated
0,19,19,0.0,100000000456947100;100000003265658100;100000003349739100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 0 транзита; 19 seed, 0 на границе выгрузки. Внутренний оборот 0 KZT.",0,0,0
1,288,1,32566666.24,100000000437046100;100000008477350100;100000008686313100,"Гипотеза: 25 узлов сбора/координации, 8 раздачи, 23 транзита; 1 seed, 65 на границе выгрузки. Внутренний оборот 32 566 666 KZT.",20,5,65
2,270,1,10178044.0,100000002527114100;100000001697501100;100000002578405100,"Гипотеза: 0 узлов сбора/координации, 3 раздачи, 4 транзита; 1 seed, 4 на границе выгрузки. Внутренний оборот 10 178 044 KZT.",0,0,4
3,148,5,19555090.0,100000003684369100;100000008165763100;100000007908818100,"Гипотеза: 6 узлов сбора/координации, 5 раздачи, 11 транзита; 5 seed, 6 на границе выгрузки. Внутренний оборот 19 555 090 KZT.",4,2,6
4,131,5,16690113.61,100000004015047100;100000001616816100;100000005514161100,"Гипотеза: 7 узлов сбора/координации, 4 раздачи, 14 транзита; 5 seed, 2 на границе выгрузки. Внутренний оборот 16 690 114 KZT.",6,1,2
5,128,0,27235142.0,100000008710791100;100000002718366100;100000008547844100,"Гипотеза: 7 узлов сбора/координации, 7 раздачи, 7 транзита; 0 seed, 53 на границе выгрузки. Внутренний оборот 27 235 142 KZT.",6,1,53
6,127,0,16703584.0,100000001857829100;100000006977207100;100000002723538100,"Гипотеза: 2 узлов сбора/координации, 3 раздачи, 9 транзита; 0 seed, 49 на границе выгрузки. Внутренний оборот 16 703 584 KZT.",0,2,49
7,125,7,18300397.28,100000003016635100;100000001530983100;100000006518161100,"Гипотеза: 3 узлов сбора/координации, 1 раздачи, 7 транзита; 7 seed, 6 на границе выгрузки. Внутренний оборот 18 300 397 KZT.",2,1,6
8,119,0,24439680.33,100000000331309100;100000006889963100;100000006734214100,"Гипотеза: 6 узлов сбора/координации, 0 раздачи, 7 транзита; 0 seed, 33 на границе выгрузки. Внутренний оборот 24 439 680 KZT.",5,1,33
9,106,0,6254194.67,100000005578559100;100000007998965100;100000005704413100,"Гипотеза: 1 узлов сбора/координации, 4 раздачи, 3 транзита; 0 seed, 56 на границе выгрузки. Внутренний оборот 6 254 195 KZT.",1,0,56
10,55,1,3064863.0,100000001899164100;100000003265158100;100000004386258100,"Гипотеза: 1 узлов сбора/координации, 1 раздачи, 9 транзита; 1 seed, 8 на границе выгрузки. Внутренний оборот 3 064 863 KZT.",1,0,8
11,53,1,5947339.0,100000003115284100;100000000343175100;100000008730846100,"Гипотеза: 3 узлов сбора/координации, 0 раздачи, 7 транзита; 1 seed, 7 на границе выгрузки. Внутренний оборот 5 947 339 KZT.",2,1,7
12,51,0,13990812.0,100000001282143100;100000008512827100;100000005242320100,"Гипотеза: 1 узлов сбора/координации, 3 раздачи, 3 транзита; 0 seed, 11 на границе выгрузки. Внутренний оборот 13 990 812 KZT.",1,0,11
13,50,3,4135421.0,100000005074393100;100000008733194100;100000006424479100,"Гипотеза: 3 узлов сбора/координации, 0 раздачи, 5 транзита; 3 seed, 13 на границе выгрузки. Внутренний оборот 4 135 421 KZT.",2,1,13
14,44,0,10215968.84,100000004159526100;100000002605308100;100000001904863100,"Гипотеза: 1 узлов сбора/координации, 1 раздачи, 0 транзита; 0 seed, 7 на границе выгрузки. Внутренний оборот 10 215 969 KZT.",1,0,7
15,41,1,4209955.28,100000004156082100;100000005339662100;100000003159641100,"Гипотеза: 3 узлов сбора/координации, 0 раздачи, 4 транзита; 1 seed, 3 на границе выгрузки. Внутренний оборот 4 209 955 KZT.",2,1,3
16,41,0,5151924.19,100000003242289100;100000008512552100;100000003964910100,"Гипотеза: 1 узлов сбора/координации, 2 раздачи, 1 транзита; 0 seed, 9 на границе выгрузки. Внутренний оборот 5 151 924 KZT.",1,0,9
17,30,1,6513430.0,100000007594394100;100000003854444100;100000006274203100,"Гипотеза: 2 узлов сбора/координации, 1 раздачи, 3 транзита; 1 seed, 5 на границе выгрузки. Внутренний оборот 6 513 430 KZT.",2,0,5
